file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\0\Q_ptrap.csv,0,0.0,0.0,Q_ptrap,m^{-3},6.749999670319085e-08,7.635606602724147e+17,7.424583322327035e+16,0,1.1748690399278018e+21
sim\snapshots\0\Q_total.csv,0,0.0,0.0,Q_total,m^{-3},-3.0068407211488832e+23,2.9817998065007778e+23,-1.40374766980531e+22,4,4.906614502387637e+26
sim\snapshots\0\R_n.csv,0,0.0,0.0,R_n,m^{-3} s^{-1},6.749999670319085e-08,7.507310542775012e+26,5.981994216004619e+25,0,1.2250558708645043e+30
sim\snapshots\0\R_nfree_to_pfree.csv,0,0.0,0.0,R_nfree_to_pfree,m^{-3} s^{-1},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\R_p.csv,0,0.0,0.0,R_p,m^{-3} s^{-1},6.749999670319085e-08,7.507310542775012e+26,5.9819942160044795e+25,0,1.2250558708645046e+30
sim\snapshots\0\R_srh_nfree.csv,0,0.0,0.0,R_srh_nfree,m^{-3} s^{-1},6.749999670319085e-08,7.507310542775012e+26,5.981994216004619e+25,0,1.2250558708645043e+30
sim\snapshots\0\R_srh_nfree_to_ptrap.csv,0,0.0,0.0,R_srh_nfree_to_ptrap,m^{-3} s^{-1},6.749999670319085e-08,1.291843591952382e+23,1.1801434142319447e+22,0,2.1080525575461284e+26
sim\snapshots\0\R_srh_pfree.csv,0,0.0,0.0,R_srh_pfree,m^{-3} s^{-1},6.749999670319085e-08,7.507310542775012e+26,5.9819942160044795e+25,0,1.2250558708645046e+30
sim\snapshots\0\R_srh_pfree_to_ntrap.csv,0,0.0,0.0,R_srh_pfree_to_ntrap,m^{-3} s^{-1},6.749999670319085e-08,7.50663686768144e+26,5.980814076463482e+25,0,1.2249459394208453e+30
sim\snapshots\0\R_ss_srh.csv,0,0.0,0.0,R_ss_srh,m^{-3} s^{-1},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\sigma_e.csv,0,0.0,0.0,sigma_e,S/m,6.749999670319085e-08,0.5343369245529175,0.026842903919064298,0,641408.7274996168
sim\snapshots\0\sigma_h.csv,0,0.0,0.0,sigma_h,S/m,1.0612631438453187e-15,25.244247436523438,1.2636238887702556,0,33992186.273875415
sim\snapshots\0\Te.csv,0,0.0,0.0,Te,K,6.749999670319085e-08,300.0,135.00006147374773,0,489545.1681418984
sim\snapshots\0\Th.csv,0,0.0,0.0,Th,K,6.749999670319085e-08,300.0,135.00006147374773,0,489545.1681418984
sim\snapshots\0\Tl.csv,0,0.0,0.0,Tl,K,6.749999670319085e-08,300.0,135.00006147374773,0,489545.1681418984
sim\snapshots\0\T_srh_nfree_to_ntrap.csv,0,0.0,0.0,T_srh_nfree_to_ntrap,m^{-3} s^{-1},6.749999670319085e-08,7.50663686768144e+26,5.980814076463482e+25,0,1.2249459394208453e+30
sim\snapshots\0\T_srh_pfree_to_ptrap.csv,0,0.0,0.0,T_srh_pfree_to_ptrap,m^{-3} s^{-1},6.749999670319085e-08,1.291843591952382e+23,1.180143414092211e+22,0,2.108052558002914e+26
sim\snapshots\1\boundary_x0.csv,1,0.0,0.1,boundary_x0,au,0.0,42.0,18.90000023625,0,50450448.989831276
sim\snapshots\1\boundary_x1.csv,1,0.0,0.1,boundary_x1,au,0.0,42.0,18.90000023625,0,50450448.989831276
sim\snapshots\1\boundary_y0.csv,1,0.0,0.1,boundary_y0,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\1\boundary_y1.csv,1,0.0,0.1,boundary_y1,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\1\boundary_z0.csv,1,0.0,0.1,boundary_z0,au,6.749999670319085e-08,42.0,18.90006147374772,0,68536.32230841492
sim\snapshots\1\boundary_z1.csv,1,0.0,0.1,boundary_z1,au,6.749999670319085e-08,42.0,18.90006147374772,0,68536.32230841492
sim\snapshots\1\dcharge.csv,1,0.0,0.1,dcharge,m^{-3},-2.045301439111e+22,1.9972804288567763e+21,-8.895791690977343e+20,4,3.5697939698325467e+25
sim\snapshots\1\dn.csv,1,0.0,0.1,dn,m^{-3},-1.4231729480961423e+21,2.045301439111e+22,1.812582865004657e+21,1,3.569793946866761e+25
