omega_eV,eps1,eps2,n,k,alpha_cm1
3.750000000000000000e+00,5.552150000000000141e-01,3.023753999999999831e+00,1.347130304833740189e+00,1.122294550553216474e+00,4.265585103504190920e+05
3.775000000000000355e+00,6.129760000000011866e-01,3.045718000000000369e+00,1.363775086164376704e+00,1.116649670058900812e+00,4.272424404147837777e+05
3.800000000000000266e+00,6.819020000000013404e-01,3.071367000000000846e+00,1.383484024933550494e+00,1.110011732931835082e+00,4.275152933051258442e+05
3.825000000000000178e+00,7.568420000000000147e-01,3.114704999999999835e+00,1.407512137681488307e+00,1.106457598699883915e+00,4.289500318177332520e+05
3.850000000000000089e+00,8.284310000000000285e-01,3.182078999999999880e+00,1.434674201238220537e+00,1.108990109828995152e+00,4.327418443898921250e+05
3.875000000000000000e+00,8.848030000000000062e-01,3.276778999999999886e+00,1.462692495459333664e+00,1.120118893811300698e+00,4.399226460422404925e+05
3.900000000000000355e+00,9.095119999999996541e-01,3.393928000000002054e+00,1.487143862706701070e+00,1.141089334095366725e+00,4.510500571708932403e+05
3.925000000000000266e+00,8.926729999999991616e-01,3.514838000000001905e+00,1.503179468792944951e+00,1.169134515528748253e+00,4.650981717428085394e+05
3.950000000000000178e+00,8.428750000000000409e-01,3.621961000000000208e+00,1.510234532981620692e+00,1.199138584405578190e+00,4.800726472770597902e+05
3.975000000000000089e+00,7.707500000000000462e-01,3.715266999999999875e+00,1.510814802334046192e+00,1.229557386603676417e+00,4.953662627865162212e+05
4.000000000000000000e+00,6.696710000000000163e-01,3.795373000000000108e+00,1.503939980451632241e+00,1.261809995522644501e+00,5.115574854106705752e+05
4.025000000000000355e+00,5.342550000000000354e-01,3.838642999999999805e+00,1.484907063955233530e+00,1.292553282686695448e+00,5.272964274181318469e+05
4.049999999999999822e+00,3.954110000000000125e-01,3.818200000000000038e+00,1.454996681555317917e+00,1.312099212459556075e+00,5.385948386193653569e+05
4.075000000000000178e+00,3.003750000000000031e-01,3.750690000000000079e+00,1.425319890708697912e+00,1.315736216287236804e+00,5.434216431303123245e+05
4.100000000000000533e+00,2.576959999999992035e-01,3.684330999999998468e+00,1.405529814632491270e+00,1.310655583981102934e+00,5.446442563372566365e+05
4.125000000000000000e+00,2.364719999999999878e-01,3.642821999999999782e+00,1.394087723777875043e+00,1.306525384976571003e+00,5.462384842227803310e+05
4.150000000000000355e+00,2.168309999999999960e-01,3.612232000000000109e+00,1.384840242037847169e+00,1.304205312045401577e+00,5.485731544100824976e+05
4.174999999999999822e+00,2.125120000000000064e-01,3.584540000000000060e+00,1.379011591106047430e+00,1.299677255477233118e+00,5.499617532540630782e+05
4.200000000000000178e+00,2.301650000000000085e-01,3.588182999999999900e+00,1.383062258385332255e+00,1.297187808518849517e+00,5.521952136813144898e+05
4.225000000000000533e+00,2.289839999999975784e-01,3.646654000000002505e+00,1.393344934416236747e+00,1.308596999180186460e+00,5.603677364506843733e+05
4.250000000000000000e+00,1.607679999999999942e-01,3.723898999999999848e+00,1.394298339473490245e+00,1.335402508406559718e+00,5.752301048595223110e+05
4.275000000000000355e+00,4.197000000000000036e-02,3.757474000000000203e+00,1.378346543805418767e+00,1.363036754757678271e+00,5.905873972285661148e+05
4.299999999999999822e+00,-6.917099999999999638e-02,3.745674999999999866e+00,1.355939274539005535e+00,1.381210453275446559e+00,6.019616186020518653e+05
4.325000000000000178e+00,-1.666910000000000058e-01,3.734196999999999989e+00,1.336268051748666918e+00,1.397248476873092837e+00,6.124917535904241959e+05
4.350000000000000533e+00,-2.908800000000053565e-01,3.723609999999998088e+00,1.312264105260224634e+00,1.418773090368725232e+00,6.255221442172788084e+05
