omega_eV,eps1,eps2,n,k,alpha_cm1
1.850000000000000089e+00,7.662465000000000082e+00,2.701754999999999907e+00,2.809563509362462685e+00,4.808140109659015393e-01,9.015489920322834223e+04
1.875000000000000000e+00,8.137508000000000408e+00,2.888993000000000144e+00,2.895913425355162829e+00,4.988051394605634847e-01,9.479221704255348595e+04
1.900000000000000133e+00,8.607464000000003779e+00,3.205046000000003836e+00,2.982639366222942456e+00,5.372835275185657844e-01,1.034659896109484835e+05
1.925000000000000044e+00,9.045127000000000805e+00,3.672639000000000209e+00,3.066547899413390343e+00,5.988230284455284824e-01,1.168341266057896864e+05
1.950000000000000178e+00,9.394925000000002413e+00,4.312420000000007470e+00,3.141043821852114615e+00,6.864628837711012066e-01,1.356726041156626015e+05
1.975000000000000089e+00,9.564522999999999442e+00,5.112627999999999950e+00,3.194507424920565608e+00,8.002216492151571492e-01,1.601835394770356943e+05
2.000000000000000000e+00,9.455762999999999252e+00,5.978423000000000265e+00,3.212704698612107723e+00,9.304345653963599361e-01,1.886063544837366208e+05
2.024999999999999911e+00,9.071768000000000498e+00,6.730431000000000274e+00,3.191206167320645992e+00,1.054527762719089212e+00,2.164330276201713423e+05
2.050000000000000266e+00,8.585324999999992102e+00,7.263895000000007762e+00,3.148912589146992236e+00,1.153397370418548507e+00,2.396477231512008293e+05
2.075000000000000178e+00,8.153095999999999677e+00,7.700785999999999909e+00,3.111916204331675928e+00,1.237306131392738262e+00,2.602170537108737917e+05
2.100000000000000089e+00,7.685883999999999716e+00,8.223651000000000266e+00,3.077502958298278024e+00,1.336091485765348086e+00,2.843779900777800940e+05
2.125000000000000000e+00,6.933154000000000039e+00,8.787635999999999115e+00,3.010523863870995243e+00,1.459486188676257568e+00,3.143398294028336531e+05
2.149999999999999911e+00,5.799769000000000396e+00,9.062741000000000824e+00,2.877450562446446369e+00,1.574786569451038565e+00,3.431631544821770512e+05
2.175000000000000266e+00,4.577134999999985077e+00,8.732324999999983461e+00,2.686663999227782096e+00,1.625124132103955565e+00,3.582500748829112854e+05
2.200000000000000178e+00,3.723608000000000029e+00,7.869685999999999737e+00,2.492966862951169205e+00,1.578377578329276609e+00,3.519444110643202439e+05
2.225000000000000089e+00,3.435261999999999816e+00,6.846409999999999663e+00,2.355332325438424412e+00,1.453385139340284127e+00,3.277564294389445568e+05
2.250000000000000000e+00,3.604206000000000021e+00,5.967319999999999958e+00,2.299512913835032091e+00,1.297518262258408273e+00,2.958942232207695488e+05
2.274999999999999911e+00,4.042747000000000313e+00,5.344484999999999708e+00,2.317761814014345223e+00,1.152940946667723843e+00,2.658452797833085060e+05
2.300000000000000266e+00,4.618911000000011313e+00,4.978201999999996907e+00,2.388498339563753348e+00,1.042119627537450910e+00,2.429326573571215849e+05
2.325000000000000178e+00,5.265538000000000274e+00,4.848720000000000141e+00,2.492335149083626522e+00,9.727263208928303984e-01,2.292208475330997317e+05
2.350000000000000089e+00,5.942611000000000310e+00,4.954327000000000147e+00,2.615294845643311383e+00,9.471832608574067836e-01,2.256016989159496152e+05
2.375000000000000000e+00,6.606743999999999950e+00,5.311132999999999882e+00,2.746234388090635470e+00,9.669846505149642946e-01,2.327682189192714286e+05
2.400000000000000355e+00,7.193636000000006803e+00,5.943909000000016540e+00,2.874475572435705395e+00,1.033911899791064570e+00,2.514984221729259298e+05
2.425000000000000266e+00,7.600652000000001074e+00,6.871071000000021023e+00,2.987197797367954877e+00,1.150086379625443467e+00,2.826719353053662344e+05
2.450000000000000178e+00,7.668699000000000154e+00,8.068275999999999115e+00,3.065942529425925489e+00,1.315790482463923272e+00,3.267332361183777102e+05
2.475000000000000089e+00,7.196793999999999691e+00,9.384389000000000536e+00,3.084076961344771828e+00,1.521425878410644250e+00,3.816510763142555952e+05
2.500000000000000000e+00,6.095890999999999948e+00,1.045861499999999999e+01,3.016733795000544838e+00,1.733433526241600520e+00,4.392256455791758490e+05
2.525000000000000355e+00,4.639889999999977199e+00,1.089944599999999575e+01,2.871048482038323968e+00,1.898164741589777327e+00,4.857756860204167897e+05
2.550000000000000266e+00,3.332593999999982959e+00,1.071145999999999177e+01,2.697267726524966935e+00,1.985613051063368717e+00,5.131865769534182036e+05
2.575000000000000178e+00,2.383245000000000058e+00,1.026141699999999979e+01,2.541435138047472009e+00,2.018823310966656681e+00,5.268852410002435790e+05
2.600000000000000089e+00,1.628741999999999912e+00,9.772577999999999321e+00,2.401678277244793769e+00,2.034531038689141980e+00,5.361399345326510957e+05
2.625000000000000000e+00,9.438149999999999595e-01,9.158141999999999783e+00,2.252827350760165270e+00,2.032588515251688932e+00,5.407783100752150640e+05
2.650000000000000355e+00,4.552879999999976945e-01,8.326210999999984708e+00,2.096895035247032357e+00,1.985366663577198265e+00,5.332453640702812700e+05
