file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\7\Jn_drift_plus_diffusion.csv,7,0.0,0.7,Jn_drift_plus_diffusion,A m^{-2},6.749999670319085e-08,247.3513946533203,31.51077801336907,0,397243.33970055584
sim\snapshots\7\Jn_plus_Jp.csv,7,0.0,0.7,Jn_plus_Jp,A m^{-2},6.749999670319085e-08,243.43617248535156,109.54633909215593,0,397243.33970055584
sim\snapshots\7\Jn_x.csv,7,0.0,0.7,Jn_x,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jn_x_diffusion.csv,7,0.0,0.7,Jn_x_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jn_x_drift.csv,7,0.0,0.7,Jn_x_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jn_z.csv,7,0.0,0.7,Jn_z,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jn_z_diffusion.csv,7,0.0,0.7,Jn_z_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jn_z_drift.csv,7,0.0,0.7,Jn_z_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jp.csv,7,0.0,0.7,Jp,A m^{-2},3.063334863551148e-10,242.9747772216797,76.4750275035609,0,179853220.26686984
sim\snapshots\7\Jp_all.csv,7,0.0,0.7,Jp_all,A m^{-2},6.749999670319085e-08,0.001224749954417348,0.00011177045040255962,0,2366.536216069146
sim\snapshots\7\Jp_diffusion.csv,7,0.0,0.7,Jp_diffusion,A m^{-2},-8144464.5,0.001224749954417348,-421867.9786998178,9,10967752954276.613
sim\snapshots\7\Jp_drift.csv,7,0.0,0.7,Jp_drift,A m^{-2},-3.915222644805908,8144704.5,421946.0018650388,1,9782047922002.254
sim\snapshots\7\Jp_drift_plus_diffusion.csv,7,0.0,0.7,Jp_drift_plus_diffusion,A m^{-2},-3.915222644805908,241.8335418701172,78.03562205785008,1,191626818.71929845
sim\snapshots\7\Jp_x.csv,7,0.0,0.7,Jp_x,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jp_x_diffusion.csv,7,0.0,0.7,Jp_x_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jp_x_drift.csv,7,0.0,0.7,Jp_x_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jp_z.csv,7,0.0,0.7,Jp_z,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jp_z_diffusion.csv,7,0.0,0.7,Jp_z_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jp_z_drift.csv,7,0.0,0.7,Jp_z_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\mu_n.csv,7,0.0,0.7,mu_n,m^{2} V^{-1} s^{-1},1.000000013351432e-10,0.009999999776482582,0.0030614746856661764,0,15325.669860725033
sim\snapshots\7\mu_n_ft.csv,7,0.0,0.7,mu_n_ft,m^{2} V^{-1} s^{-1},9.999966826823581e-11,0.009999512694776058,0.003061323400267107,0,15324.91167552052
sim\snapshots\7\mu_p.csv,7,0.0,0.7,mu_p,m^{2} V^{-1} s^{-1},1.000000013351432e-10,0.009999999776482582,0.003061478690666241,0,15325.669860725033
sim\snapshots\7\mu_p_ft.csv,7,0.0,0.7,mu_p_ft,m^{2} V^{-1} s^{-1},9.999736455545971e-11,0.009999547153711319,0.003061329539345709,0,15324.891974447883
sim\snapshots\7\Nad.csv,7,0.0,0.7,Nad,m^{-3},-2.9999999334588925e+23,2.9999999334588925e+23,1.4999999667294463e+22,1,7.843136978355395e+29
sim\snapshots\7\Nion.csv,7,0.0,0.7,Nion,m^{-3},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\phi.csv,7,0.0,0.7,phi,V,-0.7041184902191162,0.001224749954417348,-0.18756085744873066,10,214.77164242625486
sim\snapshots\7\Q_nfree.csv,7,0.0,0.7,Q_nfree,m^{-3},2.2500000085301508e-08,2.6713668643301146e+23,3.471511101285566e+22,0,4.359102457853955e+26
sim\snapshots\7\Q_nfree_and_ntrap.csv,7,0.0,0.7,Q_nfree_and_ntrap,m^{-3},6.749999670319085e-08,3.009028749991845e+23,3.8945042406573366e+22,0,4.910184965557504e+26
sim\snapshots\7\Q_ntrap.csv,7,0.0,0.7,Q_ntrap,m^{-3},6.749999670319085e-08,6.715227782739562e+22,6.670737228518276e+21,0,1.0958024412093509e+26
sim\snapshots\7\Q_pfree.csv,7,0.0,0.7,Q_pfree,m^{-3},2.2500000085301508e-08,5.454874440245665e+23,3.7648556173314096e+22,0,4.511593868312904e+26
